ds,y,quarter,month,monthly_avg_sales_x,is_holiday_spike,monthly_avg_sales_y,monthly_avg_sales
2014-01-03,2.8592250288993277,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-04,5.666634279020696,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-05,3.0221794435688394,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-06,8.391199036600835,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-07,4.479130659121864,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-09,3.726753106542018,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-10,4.022311359322269,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-11,2.3924257969938347,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-13,8.176052675314438,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-14,4.1424996041091475,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-15,5.016948656152849,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-16,5.706990656267163,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-18,4.187592009996125,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-19,5.939102260499159,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-20,7.891656060018336,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-21,3.267589795658801,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-23,3.850573043111923,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-26,7.001473282855888,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-27,6.058351870149419,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-28,1.5949332262312186,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-30,5.486869473092628,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-01-31,5.6756093119726065,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362
2014-02-01,6.152519906108771,1,2,199.170838,0,199.170838,199.170838
2014-02-02,5.35962881127114,1,2,199.170838,0,199.170838,199.170838
2014-02-03,4.586109683249349,1,2,199.170838,0,199.170838,199.170838
2014-02-04,4.9081151851057845,1,2,199.170838,0,199.170838,199.170838
