ds,y,quarter,month,monthly_avg_sales_x,is_holiday_spike,monthly_avg_sales_y,monthly_avg_sales,yhat
2014-01-03,2.8592250288993277,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.297187549146868
2014-01-04,5.666634279020696,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.166654265907685
2014-01-05,3.0221794435688394,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.242071642341789
2014-01-06,8.391199036600835,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.51557261465021
2014-01-07,4.479130659121864,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,4.938705322564536
2014-01-09,3.726753106542018,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.078630832361341
2014-01-10,4.022311359322269,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.261329300134251
2014-01-11,2.3924257969938347,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.186782285241439
2014-01-13,8.176052675314438,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.44055966807913
2014-01-14,4.1424996041091475,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,4.854768647897649
2014-01-15,5.016948656152849,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,3.9044540510714403
2014-01-16,5.706990656267163,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.2156469980132005
2014-01-18,4.187592009996125,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.5360316457306284
2014-01-19,5.939102260499159,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.578380350287619
2014-01-20,7.891656060018336,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.755429490221223
2014-01-21,3.267589795658801,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.107136619414434
2014-01-23,3.850573043111923,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.359302075214675
2014-01-26,7.001473282855888,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.559819407589708
2014-01-27,6.058351870149419,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.922738526587073
2014-01-28,1.5949332262312186,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.50085853229164
2014-01-30,5.486869473092628,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,5.976221522382039
2014-01-31,5.6756093119726065,1,1,249.14655013123362,0,249.14655013123362,249.14655013123362,6.0502928226004915
2014-02-01,6.152519906108771,1,2,199.170838,0,199.170838,199.170838,5.477940868132292
2014-02-02,5.35962881127114,1,2,199.170838,0,199.170838,199.170838,5.367122670156515
2014-02-03,4.586109683249349,1,2,199.170838,0,199.170838,199.170838,5.6056318916034105
2014-02-04,4.9081151851057845,1,2,199.170838,0,199.170838,199.170838,5.140457369121139
2014-02-06,5.803664008065768,1,2,199.170838,0,199.170838,199.170838,5.439607424416916
2014-02-07,5.200263426072649,1,2,199.170838,0,199.170838,199.170838,5.457873427513615
2014-02-08,2.7447035187502458,1,2,199.170838,0,199.170838,199.170838,5.164996333551995
2014-02-11,7.622859626894124,1,2,199.170838,0,199.170838,199.170838,4.886579825394632
2014-02-12,4.871894163848395,1,2,199.170838,0,199.170838,199.170838,3.897829740045445
2014-02-14,6.3590997078329865,1,2,199.170838,0,199.170838,199.170838,4.982673344895317
2014-02-15,3.1072736482868986,1,2,199.170838,0,199.170838,199.170838,4.794855676781401
2014-02-16,2.306577114263583,1,2,199.170838,0,199.170838,199.170838,4.868802401639938
2014-02-17,4.011107870318302,1,2,199.170838,0,199.170838,199.170838,5.2126703583251075
2014-02-18,3.658007790446849,1,2,199.170838,0,199.170838,199.170838,4.755048750024777
2014-02-20,4.570475216191204,1,2,199.170838,0,199.170838,199.170838,4.801610102698822
2014-02-21,2.2874714551839976,1,2,199.170838,0,199.170838,199.170838,4.8029391167690765
2014-02-22,3.0174937653355034,1,2,199.170838,0,199.170838,199.170838,4.602402902344676
2014-02-23,2.51478902426987,1,2,199.170838,0,199.170838,199.170838,4.625712571734711
2014-02-24,4.037280261600423,1,2,199.170838,0,199.170838,199.170838,4.906079477482805
2014-02-27,3.0182762379888852,1,2,199.170838,0,199.170838,199.170838,4.971358898449564
2014-03-01,7.698097679722711,1,3,294.548116091954,0,294.548116091954,294.548116091954,5.67338785602023
2014-03-02,5.315095817786855,1,3,294.548116091954,0,294.548116091954,294.548116091954,5.710562495085275
2014-03-03,7.205554995022202,1,3,294.548116091954,0,294.548116091954,294.548116091954,5.918963891980122
2014-03-04,5.917419649888071,1,3,294.548116091954,0,294.548116091954,294.548116091954,5.309194441812041
2014-03-05,6.560410954820557,1,3,294.548116091954,0,294.548116091954,294.548116091954,4.3197916754754235
2014-03-07,7.353762022313561,1,3,294.548116091954,0,294.548116091954,294.548116091954,6.106627100590678
2014-03-10,6.6106368235833335,1,3,294.548116091954,0,294.548116091954,294.548116091954,6.295379711071366
2014-03-11,6.823627739732319,1,3,294.548116091954,0,294.548116091954,294.548116091954,5.724524791704233
2014-03-14,7.654229933582624,1,3,294.548116091954,0,294.548116091954,294.548116091954,6.5529834541952185
2014-03-15,5.918307660990055,1,3,294.548116091954,0,294.548116091954,294.548116091954,6.328358189780671
2014-03-16,6.158926240994913,1,3,294.548116091954,0,294.548116091954,294.548116091954,6.241184388877466
2014-03-17,8.284342174754643,1,3,294.548116091954,0,294.548116091954,294.548116091954,6.495585974224332
2014-03-18,10.243799408376027,1,3,294.548116091954,0,294.548116091954,294.548116091954,5.9923103863909875
2014-03-19,6.383104527022447,1,3,294.548116091954,0,294.548116091954,294.548116091954,5.024633273677645
2014-03-21,8.321376827929777,1,3,294.548116091954,0,294.548116091954,294.548116091954,6.842809635708964
2014-03-22,6.142237385590023,1,3,294.548116091954,0,294.548116091954,294.548116091954,6.4945775047741074
2014-03-23,6.852310220040453,1,3,294.548116091954,0,294.548116091954,294.548116091954,6.306131809353736
